หลอดไส้ 100 วัตต์,100,0
หลอดไส้ 60 วัตต์,60,0
หลอดไส้ 40 วัตต์,40,0
หลอดไส้ 25 วัตต์,25,0
หลอดฟลูออเรสเซนต์ 36 วัตต์,46,0
หลอดฟลูออเรสเซนต์ 18 วัตต์,28,0
หลอดฟลูออเรสเซนต์ 10 วัตต์,17,0
หลอดตะเกียบ 20 วัตต์,25,0
หลอดตะเกียบ 15 วัตต์,20,0
หลอดตะเกียบ 11 วัตต์,16,0
หลอดตะเกียบ 9 วัตต์,14,0
หลอดตะเกียบ 7 วัตต์,12,0
หลอดคอมแพคฟลูออเรสเซนต์25 วัตต์,30,0
หลอดคอมแพคฟลูออเรสเซนต์18 วัตต์,23,0
หลอดคอมแพคฟลูออเรสเซนต์13 วัตต์,18,0
หลอดคอมแพคฟลูออเรสเซนต์ 9 วัตต์,14,0
"เครื่องปรับอากาศ 24,000 บีทียู","2,500",1
"เครื่องปรับอากาศ 20,000 บีทียู","2,130",1
"เครื่องปรับอากาศ 18,000 บีทียู","2,020",1
"เครื่องปรับอากาศ 16,700 บีทียู","1,670",1
"เครื่องปรับอากาศ 16,100 บีทียู","1,520",1
"เครื่องปรับอากาศ 12,500 บีทียู","1,260",1
"เครื่องปรับอากาศ 12,000 บีทียู","1,000",1
"เครื่องปรับอากาศ 9,000 บีทียู",880,1
พัดลม ติดผนัง 16 นิ้ว,66,2
พัดลม ตั้งพื้น 16 นิ้ว,55,2
พัดลม ตั้งโต๊ะ 12 นิ้ว,48,2
ติดเพดาน 56 นิ้ว,75,2
ติดเพดาน 16 นิ้ว,53,2
พัดลมดูดอากาศ 12 นิ้ว,75,2
พัดลมดูดอากาศ 10 นิ้ว,60,2
พัดลมดูดอากาศ 8 นิ้ว,40,2
พัดลมดูดอากาศ 6 นิ้ว,25,2
โทรทัศน์สีทั่วไป 29 นิ้ว,125,3
โทรทัศน์สีทั่วไป 25 นิ้ว,115,3
โทรทัศน์สีทั่วไป 21 นิ้ว,110,3
โทรทัศน์สีทั่วไป 20 นิ้ว,82,3
โทรทัศน์สีทั่วไป 14 นิ้ว,60,3
โทรทัศน์สีจอแบน 29 นิ้ว,180,3
โทรทัศน์สีจอแบน 25 นิ้ว,168,3
โทรทัศน์สีจอแบน 21 นิ้ว,112,3
โทรทัศน์สีจอแบน 20 นิ้ว,70,3
โทรทัศน์สีจอแบน 14 นิ้ว,68,3
เครื่องเล่นดีวีดี,50,4
หม้อหุงข้าว 4 ลิตร,"1,350",5
หม้อหุงข้าว 2.5 ลิตร,"1,050",5
หม้อหุงข้าว 1.5 ลิตร,530,5
หม้อหุงข้าว 1 ลิตร,450,5
หม้อหุงข้าว 0.5 ลิตร,300,5
กระติกน้ำร้อนความจุ 3.2 ลิตร,720,6
กระติกน้ำร้อนความจุ 2.5 ลิตร,650,6
กระติกน้ำร้อนความจุ 2 ลิตร,600,6
เตารีดธรรมดา,"1,000",7
เตารีดไอน้ำขนาดเล็ก,"1,325",7
เตารีดไอน้ำขนาดใหญ่,"1,800",7
เครื่องปิ้งขนมปัง,700,8
เครื่องปั่นน้ำผลไม้ความจุ 2 ลิตร,400,9
เครื่องปั่นน้ำผลไม้ความจุ 1 ลิตร,300,9
เตาไมโครเวฟความจุ 32 ลิตร,"1,500",10
เตาไมโครเวฟความจุ 25 ลิตร,"1,200",10
เตาไมโครเวฟความจุ 20 ลิตร,750,10
เครื่องดูดฝุ่นขนาดเล็ก,"1,000",11
เครื่องดูดฝุ่นขนาดกลาง,"1,400",11
เครื่องดูดฝุ่นขนาดใหญ่,"1,500",11
